"bout","foragdiv_id","foragdata_id","date","timestart","timeend","where","canopy","kelptype","success","prey","number","size","qualifier","geometry","site"
"mba-2016-07-11-jaf-947","mba-2016-07-11-jaf-947-SB1-22","mba-2016-07-11-jaf-947-SB1-22-1",2016-07-11,1899-12-31 09:47:00,1899-12-31 10:33:00,"k",1,"m","y","gas",6,1,"b",c(-121.919559586107, 36.6346807305824),NA
"mba-2016-07-11-jaf-947","mba-2016-07-11-jaf-947-SB1-23","mba-2016-07-11-jaf-947-SB1-23-1",2016-07-11,1899-12-31 09:47:00,1899-12-31 10:33:00,"k",1,"m","y","gas",5,1,"b",c(-121.919559586107, 36.6346807305824),NA
"mba-2016-07-11-jaf-947","mba-2016-07-11-jaf-947-SB1-24","mba-2016-07-11-jaf-947-SB1-24-1",2016-07-11,1899-12-31 09:47:00,1899-12-31 10:33:00,"k",1,"m","y","gas",7,1,"b",c(-121.919559586107, 36.6346807305824),NA
"mba-2016-07-11-jaf-947","mba-2016-07-11-jaf-947-SB1-25","mba-2016-07-11-jaf-947-SB1-25-1",2016-07-11,1899-12-31 09:47:00,1899-12-31 10:33:00,"k",1,"m","y","gas",2,1,"c",c(-121.919559586107, 36.6346807305824),NA
"mba-2016-07-11-jaf-947","mba-2016-07-11-jaf-947-SB1-26","mba-2016-07-11-jaf-947-SB1-26-1",2016-07-11,1899-12-31 09:47:00,1899-12-31 10:33:00,"k",1,"m","y","pur",1,1,"c",c(-121.919559586107, 36.6346807305824),NA
"mba-2016-07-11-jaf-947","mba-2016-07-11-jaf-947-SB1-26","mba-2016-07-11-jaf-947-SB1-26-2",2016-07-11,1899-12-31 09:47:00,1899-12-31 10:33:00,"k",1,"m","y","gas",2,1,"b",c(-121.919559586107, 36.6346807305824),NA
"mba-2016-07-11-jaf-947","mba-2016-07-11-jaf-947-SB1-27","mba-2016-07-11-jaf-947-SB1-27-1",2016-07-11,1899-12-31 09:47:00,1899-12-31 10:33:00,"k",1,"m","y","gas",10,1,"b",c(-121.919559586107, 36.6346807305824),NA
"mba-2016-07-11-jaf-947","mba-2016-07-11-jaf-947-SB1-28","mba-2016-07-11-jaf-947-SB1-28-1",2016-07-11,1899-12-31 09:47:00,1899-12-31 10:33:00,"k",1,"m","y","gas",3,1,"b",c(-121.919559586107, 36.6346807305824),NA
"mba-2016-07-11-jaf-947","mba-2016-07-11-jaf-947-SB1-29","mba-2016-07-11-jaf-947-SB1-29-1",2016-07-11,1899-12-31 09:47:00,1899-12-31 10:33:00,"k",1,"m","y","gas",9,1,"b",c(-121.919559586107, 36.6346807305824),NA
"mba-2016-07-11-jaf-947","mba-2016-07-11-jaf-947-SB1-3","mba-2016-07-11-jaf-947-SB1-3-1",2016-07-11,1899-12-31 09:47:00,1899-12-31 10:33:00,"k",1,"m","y","pur",1,1,"c",c(-121.919559586107, 36.6346807305824),NA
"mba-2016-07-11-jaf-947","mba-2016-07-11-jaf-947-SB1-30","mba-2016-07-11-jaf-947-SB1-30-1",2016-07-11,1899-12-31 09:47:00,1899-12-31 10:33:00,"k",1,"m","y","gas",12,1,"b",c(-121.919559586107, 36.6346807305824),NA
"mba-2016-07-11-jaf-947","mba-2016-07-11-jaf-947-SB1-4","mba-2016-07-11-jaf-947-SB1-4-1",2016-07-11,1899-12-31 09:47:00,1899-12-31 10:33:00,"k",1,"m","y","rab",1,2,"a",c(-121.919559586107, 36.6346807305824),NA
"mba-2016-07-11-jaf-947","mba-2016-07-11-jaf-947-SB1-5","mba-2016-07-11-jaf-947-SB1-5-1",2016-07-11,1899-12-31 09:47:00,1899-12-31 10:33:00,"k",1,"m","y","unk",3,1,"b",c(-121.919559586107, 36.6346807305824),NA
"mba-2016-07-11-jaf-947","mba-2016-07-11-jaf-947-SB1-6","mba-2016-07-11-jaf-947-SB1-6-1",2016-07-11,1899-12-31 09:47:00,1899-12-31 10:33:00,"k",1,"m","y","unk",5,1,"b",c(-121.919559586107, 36.6346807305824),NA
"mba-2016-07-11-jaf-947","mba-2016-07-11-jaf-947-SB1-7","mba-2016-07-11-jaf-947-SB1-7-1",2016-07-11,1899-12-31 09:47:00,1899-12-31 10:33:00,"k",1,"m","y","pur",3,1,"b",c(-121.919559586107, 36.6346807305824),NA
"mba-2016-07-11-jaf-947","mba-2016-07-11-jaf-947-SB1-8","mba-2016-07-11-jaf-947-SB1-8-1",2016-07-11,1899-12-31 09:47:00,1899-12-31 10:33:00,"k",1,"m","y","unk",1,1,"c",c(-121.919559586107, 36.6346807305824),NA
"mba-2016-07-11-jaf-947","mba-2016-07-11-jaf-947-SB1-9","mba-2016-07-11-jaf-947-SB1-9-1",2016-07-11,1899-12-31 09:47:00,1899-12-31 10:33:00,"k",1,"m","y","gas",3,1,"b",c(-121.919559586107, 36.6346807305824),NA
"mba-2016-07-11-snl-1600","mba-2016-07-11-snl-1600-SB1-7","mba-2016-07-11-snl-1600-SB1-7-1",2016-07-11,1899-12-31 16:00:00,1899-12-31 16:21:00,"k",1,"m","y","rab",1,4,"a",c(-121.910969548872, 36.6255402114228),NA
"mba-2016-07-11-snl-1600","mba-2016-07-11-snl-1600-SB1-8","mba-2016-07-11-snl-1600-SB1-8-1",2016-07-11,1899-12-31 16:00:00,1899-12-31 16:21:00,"k",1,"m","c","rab",1,4,"a",c(-121.910969548872, 36.6255402114228),NA
